seed,noise_level,true_degree,true_coefficients,selected_degree,selected_coefficients,c1,c2,source_file,true_coeff_0,true_coeff_1,true_coeff_2,true_coeff_3,true_coeff_4,true_coeff_5,true_coeff_6,imse,imae,maxerr,metrics_success
3859,high,1,"[-13.777555168180475, 8.569563813299407]",1,"[-13.759987957122725, 8.42298234708544]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,-13.777555168180475,8.569563813299407,,,,,,0.004895621429357677,0.057828875148822796,0.12901338140447294,True
3860,high,1,"[-8.862288794295393, 6.13821286774084]",1,"[-9.523289818424324, 6.713536688823531]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,-8.862288794295393,6.13821286774084,,,,,,0.16696521865979624,0.3733391135875853,0.6609975947036109,True
3861,high,1,"[40.73157206101367, 13.9300543727504]",1,"[40.6527215183337, 13.458986053042102]",0.2,0.8,polynomial_params_deg1_noise_level_high.csv,40.73157206101367,13.9300543727504,,,,,,0.1173298546735348,0.31438470253412193,0.5499160544155046,True
3862,high,1,"[5.898045041368264, -6.406736954963463]",1,"[5.485036617268273, -5.949758998485939]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,5.898045041368264,-6.406736954963463,,,,,,0.051449830293132916,0.18875012017524084,0.4130057001179184,True
3863,high,1,"[-8.685869408160881, 5.317862577227567]",1,"[-8.743377888825636, 5.219536217375467]",0.8,0.2,polynomial_params_deg1_noise_level_high.csv,-8.685869408160881,5.317862577227567,,,,,,0.012184515926680243,0.10667166059080473,0.1558342544070923,True
3864,high,1,"[-12.738178123437274, 6.045324688104098]",1,"[-12.514084187467445, 6.097716226350127]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,-12.738178123437274,6.045324688104098,,,,,,0.0628736759154448,0.25028970509284376,0.276485161917182,True
3865,high,1,"[-18.73600103044444, 9.346340096211396]",1,"[-18.877138168510225, 9.813634475439827]",0.3333333333333333,0.6666666666666666,polynomial_params_deg1_noise_level_high.csv,-18.73600103044444,9.346340096211396,,,,,,0.026755112709033926,0.13513776965146623,0.32615445568581336,True
3866,high,1,"[8.043165686397698, 9.00839843341828]",1,"[8.299894066192984, 8.078082409973941]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,8.043165686397698,9.00839843341828,,,,,,0.11556690342161695,0.27927594468739675,0.6735820981645624,True
3867,high,1,"[9.300532011909706, 5.380127088229577]",1,"[9.035379660230868, 5.425289526062877]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,9.300532011909706,5.380127088229577,,,,,,0.05901072493211822,0.24257113276218795,0.26515208247182365,True
3868,high,1,"[-5.7300865033234345, -5.6737146793331785]",2,"[-6.076046005548977, -3.1762845341808816, -3.611310963904684]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,-5.7300865033234345,-5.6737146793331785,,,,,,0.2664572361444295,0.3362938510888475,1.4598121548948981,True
3869,high,1,"[-1.9679606638099572, -7.977001308234173]",1,"[-2.1578707930277745, -7.746408614379076]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,-1.9679606638099567,-7.977001308234173,,,,,,0.009998299045938866,0.0817911800327662,0.18990875468682478,True
3870,high,1,"[6.09770206972501, 8.100924304971716]",1,"[6.305733467895449, 7.856938009917894]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,6.09770206972501,8.100924304971716,,,,,,0.012363356588306042,0.09133672586246494,0.20802994380205142,True
3871,high,1,"[3.8033304136691815, 5.344216982492817]",1,"[3.8100667421984573, 5.333136576978737]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_high.csv,3.8033304136691815,5.344216982492817,,,,,,1.1661999059378419e-05,0.0028992245510972197,0.006736262480518729,True
3872,high,1,"[10.20674214571146, -6.742843234126531]",1,"[10.677070066998992, -7.894825720973373]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,10.20674214571146,-6.742843234126531,,,,,,0.12175337514494584,0.29768743775807954,0.6816476987518483,True
3873,high,1,"[1.7527286260800314, 4.996458256175944]",1,"[1.7753073966177504, 4.8693689636983954]",0.8,0.2,polynomial_params_deg1_noise_level_high.csv,1.7527286260800314,4.996458256175944,,,,,,0.0030241769938246484,0.0449772848841782,0.10450976437822401,True
3874,high,1,"[8.063857490758686, 11.884142600564044]",1,"[8.683800078565072, 10.476734828378794]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,8.063857490758686,11.884142600564044,,,,,,0.17208234152455007,0.3568369329281653,0.7874567950167801,True
3875,high,1,"[6.312700908165422, -6.538380581079221]",1,"[5.5982814178991696, -5.848798513010895]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_high.csv,6.312700908165422,-6.538380581079221,,,,,,0.1762521480399669,0.3696284562320895,0.7144153797634063,True
3876,high,1,"[7.377624895087339, -6.909972938416455]",1,"[7.100645132171237, -6.31778267484464]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_high.csv,7.377624895087339,-6.909972938416455,,,,,,0.029589506349466728,0.1486646004326018,0.3152069706918734,True
3877,high,1,"[5.485087442422453, -5.538923260501744]",1,"[5.454984932249413, -5.142003824583222]",0.3333333333333333,0.6666666666666666,polynomial_params_deg1_noise_level_high.csv,5.485087442422453,-5.538923260501744,,,,,,0.0414729026310626,0.17064019126134225,0.36681455976390165,True
3878,high,1,"[-4.779813937815484, -6.204726123517574]",1,"[-4.888478326805514, -5.918636564824869]",0.8,0.2,polynomial_params_deg1_noise_level_high.csv,-4.779813937815484,-6.204726123517574,,,,,,0.008002614207135276,0.07565399032494591,0.17742346436258494,True
3879,high,1,"[6.946930593323143, 5.8370148406701965]",3,"[5.280428934543851, 24.981829702481466, -46.09486059176979, 31.349556880939485]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,6.946930593323143,5.8370148406701965,,,,,,0.6321983250767113,0.5740542630676402,0.7748751492555233,True
3880,high,1,"[-10.546244751733246, 11.144678968899902]",1,"[-10.816595045423508, 11.297882696900688]",0.3333333333333333,0.6666666666666666,polynomial_params_deg1_noise_level_high.csv,-10.546244751733246,11.144678968899902,,,,,,0.03949440253006835,0.19374842968986894,0.27034938046413615,True
3881,high,1,"[-6.174855284090076, 6.25110791699135]",1,"[-6.228109508058946, 6.627872404626957]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,-6.174855284090076,6.25110791699135,,,,,,0.030088871676903887,0.1426565181229507,0.32350801782600147,True
3882,high,1,"[6.325822090105159, -7.693884991231203]",1,"[6.598805286800728, -8.062333575492248]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,6.325822090105159,-7.693884991231203,,,,,,0.01919100640991761,0.11349402719463025,0.27298100042477724,True
3883,high,1,"[-20.31502793132922, 8.23261974023128]",1,"[-20.38996380879716, 8.800949543567388]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,-20.31502793132922,8.23261974023128,,,,,,0.07069334834773665,0.21910953254536816,0.493390538133216,True
3884,high,1,"[1.772840011967885, -6.426516874630452]",1,"[1.9187193544330607, -6.578949870653208]",0.2,0.8,polynomial_params_deg1_noise_level_high.csv,1.772840011967885,-6.426516874630452,,,,,,0.006789230087100148,0.06994462298997317,0.1458784338332766,True
3885,high,1,"[-24.23252719482708, -29.4544897803459]",1,"[-24.085021501257224, -29.295764352438045]",0.8,0.2,polynomial_params_deg1_noise_level_high.csv,-24.23252719482708,-29.4544897803459,,,,,,0.05356875445442263,0.22686840752378526,0.30623017533750385,True
3886,high,1,"[-2.014256441981156, -4.867742220015564]",1,"[-2.012745248404736, -4.930326002158743]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,-2.014256441981156,-4.867742220015564,,,,,,0.0012132840922442307,0.029817191995547058,0.06107221551353437,True
3887,high,1,"[-6.031483483333793, 6.583462393213219]",2,"[-5.074268551458526, 1.9569240138727337, 3.6957421143197107]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_high.csv,-6.031483483333793,6.583462393213219,,,,,,0.16348987792320607,0.35270322164567136,0.4907254758559789,True
3888,high,1,"[-11.025109156784785, -11.996409626341102]",1,"[-11.025111549434499, -11.996403119028347]",1.0,0.0,polynomial_params_deg1_noise_level_high.csv,-11.025109156784785,-11.996409626341102,,,,,,4.270092416916704e-12,1.740974016503939e-06,4.114624250206589e-06,True
3889,high,1,"[4.440562854603811, -7.077197721842872]",1,"[4.424261090173705, -6.865576929430127]",0.6666666666666666,0.3333333333333333,polynomial_params_deg1_noise_level_high.csv,4.440562854603811,-7.077197721842872,,,,,,0.011743741810909132,0.09076440632484745,0.19531776654051392,True
3890,high,1,"[5.427862968296704, 6.088574269643207]",1,"[5.378188658657181, 6.1962338343601955]",0.3333333333333333,0.6666666666666666,polynomial_params_deg1_noise_level_high.csv,5.427862968296704,6.088574269643207,,,,,,0.000983149776439068,0.027075295827723098,0.05798461333376537,True
3891,high,1,"[-14.065767819680628, 9.310083231446662]",1,"[-13.765270197881526, 9.16296132861773]",0.3333333333333333,0.6666666666666666,polynomial_params_deg1_noise_level_high.csv,-14.065767819680628,9.310083231446662,,,,,,0.05330399022293247,0.22693667038463688,0.3004967448258924,True
3892,high,1,"[7.416830255596935, -6.197754815331896]",4,"[8.66967851577639, -38.636992192559035, 149.3605745614869, -228.0685270572462, 109.92794352291209]",1.0,0.0,polynomial_params_deg1_noise_level_high.csv,7.416830255596935,-6.197754815331896,,,,,,0.458468635655092,0.6004619120477247,1.1281343731855227,True
3893,high,1,"[-6.9782008720965685, -6.886522029158089]",1,"[-7.637284798400555, -5.467234637524384]",1.0,0.0,polynomial_params_deg1_noise_level_high.csv,-6.9782008720965685,-6.886522029158089,,,,,,0.17042101529739506,0.35662295745872935,0.7601950051548769,True
3894,high,1,"[-9.17350962393842, -7.260135054352721]",1,"[-9.860089723398296, -6.307208464128865]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,-9.17350962393842,-7.260135054352721,,,,,,0.11982149533236607,0.2845616284831726,0.6865744191969423,True
3895,high,1,"[8.952613716873612, -8.372195428025789]",1,"[9.032539339696786, -8.53700907540323]",0.8,0.2,polynomial_params_deg1_noise_level_high.csv,8.952613716873612,-8.372195428025789,,,,,,0.0022697845545564667,0.04124089137727827,0.084887042123027,True
3896,high,1,"[16.40031090350824, -7.08061535592592]",1,"[16.61772626560668, -7.6674613907436155]",0.2,0.8,polynomial_params_deg1_noise_level_high.csv,16.40031090350824,-7.08061535592592,,,,,,0.03447618604755688,0.15655590660172058,0.3694271746116211,True
3897,high,1,"[8.433753513959672, -5.995281126920458]",1,"[8.055131463398121, -5.816082452312804]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,8.433753513959672,-5.995281126920458,,,,,,0.08621014252728522,0.28902271325772455,0.3786209823831648,True
3898,high,1,"[-4.797865804636396, -7.691142180261244]",1,"[-4.745586220225456, -7.705291814489901]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_high.csv,-4.797865804636396,-7.691142180261244,,,,,,0.002060155332074465,0.04520476729661078,0.05227950006693671,True
